Date,    Club     Club     Manager
22/23,	Manchester City FC	Manchester City FC	Pep Guardiola
21/22,	Real Madrid CF	Real Madrid CF	Carlo Ancelotti
20/21,	Chelsea FC	Chelsea FC	Thomas Tuchel
19/20,	FC Bayern Munique	FC Bayern Munique	Hansi Flick
18/19,	FC Liverpool	FC Liverpool	Jürgen Klopp
17/18,	Real Madrid CF	Real Madrid CF	Zinédine Zidane
16/17,	Real Madrid CF	Real Madrid CF	Zinédine Zidane
15/16,	Real Madrid CF	Real Madrid CF	Zinédine Zidane
14/15,	FC Barcelona	FC Barcelona	Luis Enrique
13/14,	Real Madrid CF	Real Madrid CF	Carlo Ancelotti
12/13,	FC Bayern Munique	FC Bayern Munique	Jupp Heynckes
11/12,	Chelsea FC	Chelsea FC	Roberto Di Matteo
10/11,	FC Barcelona	FC Barcelona	Pep Guardiola
09/10,	FC Internazionale	FC Internazionale	José Mourinho
08/09,	FC Barcelona	FC Barcelona	Pep Guardiola
07/08,	Manchester United FC	Manchester United FC	Sir Alex Ferguson
06/07,	AC Milan	AC Milan	Carlo Ancelotti
05/06,	FC Barcelona	FC Barcelona	Frank Rijkaard
04/05,	FC Liverpool	FC Liverpool	Rafael Benítez
03/04,	Futebol Clube do Porto	Futebol Clube do Porto	José Mourinho
02/03,	AC Milan	AC Milan	Carlo Ancelotti
01/02,	Real Madrid CF	Real Madrid CF	Vicente del Bosque
00/01,	FC Bayern Munique	FC Bayern Munique	Ottmar Hitzfeld
99/00,	Real Madrid CF	Real Madrid CF	Vicente del Bosque
98/99,	Manchester United FC	Manchester United FC	Sir Alex Ferguson
97/98,	Real Madrid CF	Real Madrid CF	Jupp Heynckes
96/97,	Borussia Dortmund	Borussia Dortmund	Ottmar Hitzfeld
95/96,	Juventus FC	Juventus FC	Marcello Lippi
94/95,	AFC Ajax	AFC Ajax	Louis van Gaal
93/94,	AC Milan	AC Milan	Fabio Capello
92/93,	Olympique Marselha	Olympique Marselha	Raymond Goethals
